cuddle,anew,7.72,-1.92,4.4,-2.67
cuisine,anew,6.64,-1.48,4.39,-1.99
curious,curious,6.08,-1.63,5.82,-1.64
curious,anew,6.08,-1.63,5.82,-1.64
curtains,anew,4.83,-0.83,3.67,-1.83
custom,anew,5.85,-1.53,4.66,-2.12
cut,anew,3.64,-2.08,5,-2.32
cute,anew,7.62,-1.01,5.53,-2.71
cyclone,anew,3.6,-2.38,6.36,-2.89
dagger,anew,3.38,-1.77,6.14,-2.64
damage,anew,3.05,-1.65,5.57,-2.26
dancer,anew,7.14,-1.56,6,-2.2
danger,anew,2.95,-2.22,7.32,-2.07
dark,anew,4.71,-2.36,4.28,-2.21
dawn,anew,6.16,-2.33,4.39,-2.81
daylight,anew,6.8,-2.17,4.77,-2.5
dazzle,anew,7.29,-1.09,6.33,-2.02
dead,anew,1.94,-1.76,5.73,-2.73
death,anew,1.61,-1.4,4.59,-3.07
debt,anew,2.22,-1.17,5.68,-2.74
deceit,anew,2.9,-1.63,5.68,-2.46
decent,content,6.06,-1.42,4.7,-2.54
decompose,anew,3.2,-1.81,4.65,-2.39
decorate,anew,6.93,-1.3,5.14,-2.39
defeat,disappointed,2.34,-1.66,5.09,-3
defeated,disappointed,2.34,-1.66,5.09,-3
defeated,anew,2.34,-1.66,5.09,-3
defiant,violent,4.26,-2.12,6.1,-2.51
defiant,anew,4.26,-2.12,6.1,-2.51
deformed,anew,2.41,-1.66,4.07,-2.34
dejected,neglected,2.63,-1.64,4.83,-2.31
delayed,anew,3.07,-1.74,5.62,-2.39
delight,happy,8.26,-1.04,5.44,-2.88
delight,anew,8.26,-1.04,5.44,-2.88
delighted,happy,8.26,-1.04,5.44,-2.88
delighting,happy,8.26,-1.04,5.44,-2.88
demon,anew,2.11,-1.56,6.76,-2.68
dentist,anew,4.02,-2.23,5.73,-2.13
depress,sad,1.83,-1.42,4.72,-2.95
depressed,sad,1.83,-1.42,4.72,-2.95
depressed,anew,1.83,-1.42,4.72,-2.95
depressing,sad,1.85,-1.67,4.54,-3.19
depression,sad,1.85,-1.67,4.54,-3.19
depression,anew,1.85,-1.67,4.54,-3.19
derelict,anew,4.28,-1.84,4.1,-1.94
deserter,anew,2.45,-1.8,5.5,-2.55
desire,anew,7.69,-1.39,7.35,-1.76
despair,sad,2.43,-1.47,5.68,-2.37
despairing,sad,2.43,-1.47,5.68,-2.37
despairing,anew,2.43,-1.47,5.68,-2.37
despise,anew,2.03,-1.38,6.28,-2.43
destroy,anew,2.64,-2.03,6.83,-2.38
destruction,anew,3.16,-2.44,5.82,-2.71
detach,neglected,3.86,-1.88,4.26,-2.57
detached,neglected,3.86,-1.88,4.26,-2.57
detached,anew,3.86,-1.88,4.26,-2.57
detail,anew,5.55,-1.58,4.1,-2.24
detest,anew,2.17,-1.3,6.06,-2.39
devil,anew,2.21,-1.99,6.07,-2.61
devoted,anew,7.41,-1.37,5.23,-2.21
diamond,anew,7.92,-1.2,5.53,-2.96
dignified,confident,7.1,-1.26,4.12,-2.29
dignified,anew,7.1,-1.26,4.12,-2.29
dignify,confident,7.1,-1.26,4.12,-2.29
dignifying,confident,7.1,-1.26,4.12,-2.29
dinner,anew,7.16,-1.5,5.43,-2.14
diploma,anew,8,-1.39,5.67,-2.8
dirt,anew,4.17,-1.77,3.76,-2.26
dirty,anew,3.08,-2.05,4.88,-2.29
disappoint,disappointed,2.39,-1.44,4.92,-2.64
disappoint,anew,2.39,-1.44,4.92,-2.64
disappointed,disappointed,2.39,-1.44,4.92,-2.64
disappointing,disappointed,2.39,-1.44,4.92,-2.64
disaster,anew,1.73,-1.13,6.33,-2.7
discomfort,unhappy,2.19,-1.23,4.17,-2.44
discomfort,anew,2.19,-1.23,4.17,-2.44
discourage,sad,3,-2.16,4.53,-2.11
discouraged,sad,3,-2.16,4.53,-2.11
discouraged,anew,3,-2.16,4.53,-2.11
discouraging,sad,3,-2.16,4.53,-2.11
disdain,contempt,3.68,-1.9,5.04,-2.14
disdainful,contempt,3.68,-1.9,5.04,-2.14
disdainful,anew,3.68,-1.9,5.04,-2.14
disgust,disgust,2.45,-1.41,5.42,-2.59
disgusted,disgust,2.45,-1.41,5.42,-2.59
disgusted,anew,2.45,-1.41,5.42,-2.59
disgusting,disgust,2.45,-1.41,5.42,-2.59
disloyal,anew,1.93,-1.61,6.56,-2.21
displeased,unhappy,2.79,-2.23,5.64,-2.48
displeased,anew,2.79,-2.23,5.64,-2.48
dissappointed,disappointed,2.37,-1.528,4.988,-2.784
dissatisfied,unhappy,2.39,-1.56,4.66,-2.45
distressed,sad,1.94,-1.1,6.4,-2.38
distressed,anew,1.94,-1.1,6.4,-2.38
distressing,sad,1.94,-1.1,6.4,-2.38
disturb,anew,3.66,-2,5.8,-2.39
diver,anew,6.45,-1.55,5.04,-2.1
divorce,anew,2.22,-1.88,6.33,-2.71
doctor,anew,5.2,-2.54,5.86,-2.7
dog,anew,7.57,-1.66,5.76,-2.5
doll,anew,6.09,-1.96,4.24,-2.43
dollar,anew,7.47,-1.72,6.07,-2.67
door,anew,5.13,-1.44,3.8,-2.29
dove,anew,6.9,-1.54,3.79,-2.28
down,sad,2.13,-1.45,5.07,-2.54
dreadful,sad,2.26,-1.91,5.84,-2.62
dreadful,anew,2.26,-1.91,5.84,-2.62
dreading,sad,2.26,-1.91,5.84,-2.62
dream,anew,6.73,-1.75,4.53,-2.72
dreary,anew,3.05,-1.58,2.98,-2.18
dress,anew,6.41,-1.34,4.05,-1.89
drown,anew,1.92,-1.48,6.57,-2.33
dummy,anew,3.38,-1.7,4.35,-2.25
dump,anew,3.21,-1.87,4.12,-2.36
dustpan,anew,3.98,-1.68,3.43,-2
earth,anew,7.15,-1.67,4.24,-2.49
easy,anew,7.1,-1.91,4.48,-2.82
easygoing,lively,7.2,-1.5,4.3,-2.52
easygoing,anew,7.2,-1.5,4.3,-2.52
eat,anew,7.47,-1.73,5.69,-2.51
ecstasy,anew,7.98,-1.52,7.38,-1.92
ecstatic,excited,8.66,-1.64,6.92,-2.3
education,anew,6.69,-1.77,5.74,-2.46
egg,anew,5.29,-1.82,3.76,-2.39
elate,excited,7.45,-1.77,6.21,-2.3
elated,excited,7.45,-1.77,6.21,-2.3
elated,anew,7.45,-1.77,6.21,-2.3
elbow,anew,5.12,-0.92,3.81,-2.14
elegant,anew,7.43,-1.26,4.53,-2.65
elevator,anew,5.44,-1.18,4.16,-1.99
embarrass,ashamed,3.03,-1.85,5.87,-2.55
embarrassed,ashamed,3.03,-1.85,5.87,-2.55
embarrassed,anew,3.03,-1.85,5.87,-2.55
embarrassing,ashamed,3.03,-1.85,5.87,-2.55
embattled,anew,4.39,-1.63,5.36,-2.37
employment,anew,6.47,-1.81,5.28,-2.12
engage,involved,8,-1.38,6.77,-2.07
engaged,involved,8,-1.38,6.77,-2.07
engaged,anew,8,-1.38,6.77,-2.07
engaging,involved,8,-1.38,6.77,-2.07
engine,anew,5.2,-1.18,3.98,-2.33
enjoy,happy,7.8,-1.2,5.2,-2.72
enjoying,happy,7.8,-1.2,5.2,-2.72
enjoyment,happy,7.8,-1.2,5.2,-2.72
